sample;type;domain_name;domain_accession;domain_len;query_name;query_accession;qlen;sequence_evalue;sequence_score;sequence_bias;domain_N;domain_of;domain_cevalue;domain_ievalue;domain_score;domain_bias;hmm_from;hmm_to;ali_from;ali_to;env_from;env_to;acc;description
GCF_001569665.1_ASM156966v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P05819;-;511;4e-20;70;5.5;1;1;2.1e-23;9.8e-20;68.7;5.5;146;328;161;331;134;342;0.86;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569665.1_ASM156966v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P06716;-;626;3.2e-11;40.2;1.8;1;1;9.6e-15;4.5e-11;39.7;1.8;277;416;344;483;301;496;0.85;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569665.1_ASM156966v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P09883;-;582;4.2e-233;773.3;38.9;1;2;6.2e-201;2.9e-197;655;23.5;1;345;1;342;1;355;0.98;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569665.1_ASM156966v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P09883;-;582;4.2e-233;773.3;38.9;2;2;2.8e-40;1.3e-36;124.5;7.3;415;549;447;585;421;587;0.9;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569665.1_ASM156966v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P17998;-;697;3.9e-22;76;2.3;1;1;1.6e-25;7.4e-22;75.1;2.3;142;330;157;333;130;359;0.85;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569685.1_ASM156968v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001569685.1_ASM156968v1_protein;colicin;WP_077949062.1;-;461;UniRef50_P05819;-;511;4.1e-21;73.2;4.6;1;1;2.1e-24;9.3e-21;72;4.6;145;328;34;205;6;216;0.85;colicin, partial [Salmonella enterica]
GCF_001569685.1_ASM156968v1_protein;colicin;WP_077949062.1;-;461;UniRef50_P06716;-;626;2e-11;40.8;1.9;1;1;6.4e-15;2.8e-11;40.3;1.9;277;416;218;357;173;370;0.85;colicin, partial [Salmonella enterica]
GCF_001569685.1_ASM156968v1_protein;colicin;WP_077949062.1;-;461;UniRef50_P09883;-;582;1.5e-169;563.4;25.2;1;2;3.5e-137;1.6e-133;444.5;9.8;131;345;2;216;1;229;0.98;colicin, partial [Salmonella enterica]
GCF_001569685.1_ASM156968v1_protein;colicin;WP_077949062.1;-;461;UniRef50_P09883;-;582;1.5e-169;563.4;25.2;2;2;1.8e-40;8.2e-37;125.1;7.4;415;549;321;459;294;461;0.9;colicin, partial [Salmonella enterica]
GCF_001569685.1_ASM156968v1_protein;colicin;WP_077949062.1;-;461;UniRef50_P17998;-;697;9.3e-23;78;2.6;1;1;3.8e-26;1.7e-22;77.2;2.6;141;330;30;207;5;235;0.84;colicin, partial [Salmonella enterica]
GCF_001569705.1_ASM156970v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.2e-38;128.4;8.9;1;1;1.6e-41;7.3e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001569725.1_ASM156972v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.3e-38;128.4;8.9;1;1;1.6e-41;7.4e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001569725.1_ASM156972v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P05819;-;511;4.1e-20;70;5.5;1;1;2.1e-23;1e-19;68.7;5.5;146;328;161;331;134;342;0.86;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569725.1_ASM156972v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P06716;-;626;3.2e-11;40.2;1.8;1;1;9.6e-15;4.6e-11;39.7;1.8;277;416;344;483;301;496;0.85;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569725.1_ASM156972v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P09883;-;582;4.3e-233;773.3;38.9;1;2;6.2e-201;3e-197;655;23.5;1;345;1;342;1;355;0.98;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569725.1_ASM156972v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P09883;-;582;4.3e-233;773.3;38.9;2;2;2.8e-40;1.3e-36;124.5;7.3;415;549;447;585;421;587;0.9;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569725.1_ASM156972v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P17998;-;697;4e-22;76;2.3;1;1;1.6e-25;7.6e-22;75.1;2.3;142;330;157;333;130;359;0.85;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569745.1_ASM156974v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.2e-38;128.4;8.9;1;1;1.6e-41;7.2e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001569765.1_ASM156976v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;6.9e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001569785.1_ASM156978v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.3e-38;128.4;8.9;1;1;1.6e-41;7.4e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001569785.1_ASM156978v1_protein;colicin;WP_001283341.1;-;626;Colicin-E1;-;521;1.4e-39;134.4;10.1;1;2;1;4700;-6.7;11.8;118;233;161;272;154;289;0.49;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569785.1_ASM156978v1_protein;colicin;WP_001283341.1;-;626;Colicin-E1;-;521;1.4e-39;134.4;10.1;2;2;3e-43;1.4e-39;134.4;10.1;286;521;383;626;340;626;0.84;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569785.1_ASM156978v1_protein;colicin;WP_001283341.1;-;626;UniRef50_P05819;-;511;2e-15;54.5;7.3;1;2;0.17;780;-3.5;0.6;387;438;73;122;66;126;0.53;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569785.1_ASM156978v1_protein;colicin;WP_001283341.1;-;626;UniRef50_P05819;-;511;2e-15;54.5;7.3;2;2;4.2e-19;2e-15;54.5;7.3;311;507;442;622;392;625;0.77;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569785.1_ASM156978v1_protein;colicin;WP_001283341.1;-;626;UniRef50_P06716;-;626;0;1359.5;25;1;1;0;0;1359.3;25;1;626;1;626;1;626;1;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569785.1_ASM156978v1_protein;colicin;WP_001132032.1;-;448;UniRef50_P06716;-;626;1.8e-06;24.5;0;1;1;1e-09;2.4e-06;24.1;0;12;62;393;447;385;448;0.86;MULTISPECIES: hypothetical protein [Enterobacteriaceae]
GCF_001569785.1_ASM156978v1_protein;colicin;WP_001283341.1;-;626;UniRef50_P08083;-;387;6.6e-10;36.5;5.2;1;1;2.1e-13;1e-09;35.9;5.2;186;358;438;609;386;625;0.83;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569785.1_ASM156978v1_protein;colicin;WP_001283341.1;-;626;UniRef50_Q47502;-;490;3.5e-42;143.1;11.2;1;2;1;4700;-12.7;19.5;197;283;177;267;57;284;0.44;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569785.1_ASM156978v1_protein;colicin;WP_001283341.1;-;626;UniRef50_Q47502;-;490;3.5e-42;143.1;11.2;2;2;7.5e-46;3.5e-42;143.1;11.2;266;490;401;626;375;626;0.94;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569785.1_ASM156978v1_protein;colicin;WP_001283341.1;-;626;UniRef50_Q9KJ98;-;490;3.5e-42;143.1;11.2;1;2;1;4700;-12.7;19.5;197;283;177;267;57;284;0.44;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569785.1_ASM156978v1_protein;colicin;WP_001283341.1;-;626;UniRef50_Q9KJ98;-;490;3.5e-42;143.1;11.2;2;2;7.5e-46;3.5e-42;143.1;11.2;266;490;401;626;375;626;0.94;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569805.1_ASM156980v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.8e-38;128.4;8.9;1;1;1.6e-41;6.8e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001569825.1_ASM156982v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.4e-38;128.4;8.9;1;1;1.6e-41;7.6e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001569845.1_ASM156984v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.3e-38;128.4;8.9;1;1;1.6e-41;7.4e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001569845.1_ASM156984v1_protein;colicin;WP_001283341.1;-;626;Colicin-E1;-;521;1.5e-39;134.4;10.1;1;2;1;4800;-6.7;11.8;118;233;161;272;154;289;0.49;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569845.1_ASM156984v1_protein;colicin;WP_001283341.1;-;626;Colicin-E1;-;521;1.5e-39;134.4;10.1;2;2;3e-43;1.5e-39;134.4;10.1;286;521;383;626;340;626;0.84;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569845.1_ASM156984v1_protein;colicin;WP_001283341.1;-;626;UniRef50_P05819;-;511;2e-15;54.5;7.3;1;2;0.17;790;-3.5;0.6;387;438;73;122;66;126;0.53;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569845.1_ASM156984v1_protein;colicin;WP_001283341.1;-;626;UniRef50_P05819;-;511;2e-15;54.5;7.3;2;2;4.2e-19;2e-15;54.5;7.3;311;507;442;622;392;625;0.77;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569845.1_ASM156984v1_protein;colicin;WP_001283341.1;-;626;UniRef50_P06716;-;626;0;1359.5;25;1;1;0;0;1359.3;25;1;626;1;626;1;626;1;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569845.1_ASM156984v1_protein;colicin;WP_001132032.1;-;448;UniRef50_P06716;-;626;1.8e-06;24.5;0;1;1;1e-09;2.4e-06;24.1;0;12;62;393;447;385;448;0.86;MULTISPECIES: hypothetical protein [Enterobacteriaceae]
GCF_001569845.1_ASM156984v1_protein;colicin;WP_001283341.1;-;626;UniRef50_P08083;-;387;6.6e-10;36.5;5.2;1;1;2.1e-13;1e-09;35.9;5.2;186;358;438;609;386;625;0.83;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569845.1_ASM156984v1_protein;colicin;WP_001283341.1;-;626;UniRef50_Q47502;-;490;3.6e-42;143.1;11.2;1;2;1;4800;-12.7;19.5;197;283;177;267;57;284;0.44;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569845.1_ASM156984v1_protein;colicin;WP_001283341.1;-;626;UniRef50_Q47502;-;490;3.6e-42;143.1;11.2;2;2;7.5e-46;3.6e-42;143.1;11.2;266;490;401;626;375;626;0.94;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569845.1_ASM156984v1_protein;colicin;WP_001283341.1;-;626;UniRef50_Q9KJ98;-;490;3.6e-42;143.1;11.2;1;2;1;4800;-12.7;19.5;197;283;177;267;57;284;0.44;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569845.1_ASM156984v1_protein;colicin;WP_001283341.1;-;626;UniRef50_Q9KJ98;-;490;3.6e-42;143.1;11.2;2;2;7.5e-46;3.6e-42;143.1;11.2;266;490;401;626;375;626;0.94;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_001569865.1_ASM156986v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;6.9e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001569865.1_ASM156986v1_protein;colicin;WP_077948724.1;-;562;UniRef50_P05819;-;511;3.2e-20;70.3;4.7;1;1;1.7e-23;7.4e-20;69;4.7;146;328;142;312;114;323;0.86;colicin, partial [Salmonella enterica]
GCF_001569865.1_ASM156986v1_protein;colicin;WP_077948724.1;-;562;UniRef50_P06716;-;626;2.7e-11;40.3;1.8;1;1;8.8e-15;3.9e-11;39.8;1.8;277;416;325;464;282;477;0.85;colicin, partial [Salmonella enterica]
GCF_001569865.1_ASM156986v1_protein;colicin;WP_077948724.1;-;562;UniRef50_P09883;-;582;3.1e-219;727.4;33.6;1;2;4e-189;1.8e-185;616;18.7;19;345;1;323;1;336;0.98;colicin, partial [Salmonella enterica]
GCF_001569865.1_ASM156986v1_protein;colicin;WP_077948724.1;-;562;UniRef50_P09883;-;582;3.1e-219;727.4;33.6;2;2;3.4e-38;1.5e-34;117.6;6.8;415;542;428;560;402;562;0.9;colicin, partial [Salmonella enterica]
GCF_001569865.1_ASM156986v1_protein;colicin;WP_077948724.1;-;562;UniRef50_P17998;-;697;4e-22;75.9;2.1;1;1;1.7e-25;7.4e-22;75.1;2.1;142;330;138;314;111;340;0.86;colicin, partial [Salmonella enterica]
GCF_001569885.1_ASM156988v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.5e-38;128.4;8.9;1;1;1.6e-41;7.7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001569885.1_ASM156988v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P05819;-;511;4.2e-20;70;5.5;1;1;2.1e-23;1e-19;68.7;5.5;146;328;161;331;134;342;0.86;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569885.1_ASM156988v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P06716;-;626;3.3e-11;40.2;1.8;1;1;9.6e-15;4.7e-11;39.7;1.8;277;416;344;483;301;496;0.85;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569885.1_ASM156988v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P09883;-;582;4.5e-233;773.3;38.9;1;2;6.2e-201;3.1e-197;655;23.5;1;345;1;342;1;355;0.98;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569885.1_ASM156988v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P09883;-;582;4.5e-233;773.3;38.9;2;2;2.8e-40;1.4e-36;124.5;7.3;415;549;447;585;421;587;0.9;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569885.1_ASM156988v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P17998;-;697;4.1e-22;76;2.3;1;1;1.6e-25;7.8e-22;75.1;2.3;142;330;157;333;130;359;0.85;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569905.1_ASM156990v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001569925.1_ASM156992v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.2e-38;128.4;8.9;1;1;1.6e-41;7.2e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001569925.1_ASM156992v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P05819;-;511;4e-20;70;5.5;1;1;2.1e-23;9.7e-20;68.7;5.5;146;328;161;331;134;342;0.86;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569925.1_ASM156992v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P06716;-;626;3.1e-11;40.2;1.8;1;1;9.6e-15;4.5e-11;39.7;1.8;277;416;344;483;301;496;0.85;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569925.1_ASM156992v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P09883;-;582;4.2e-233;773.3;38.9;1;2;6.2e-201;2.9e-197;655;23.5;1;345;1;342;1;355;0.98;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569925.1_ASM156992v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P09883;-;582;4.2e-233;773.3;38.9;2;2;2.8e-40;1.3e-36;124.5;7.3;415;549;447;585;421;587;0.9;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569925.1_ASM156992v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P17998;-;697;3.9e-22;76;2.3;1;1;1.6e-25;7.4e-22;75.1;2.3;142;330;157;333;130;359;0.85;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569945.1_ASM156994v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.3e-38;128.4;8.9;1;1;1.6e-41;7.4e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001569945.1_ASM156994v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P05819;-;511;4.1e-20;70;5.5;1;1;2.1e-23;9.9e-20;68.7;5.5;146;328;161;331;134;342;0.86;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569945.1_ASM156994v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P06716;-;626;3.2e-11;40.2;1.8;1;1;9.6e-15;4.5e-11;39.7;1.8;277;416;344;483;301;496;0.85;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569945.1_ASM156994v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P09883;-;582;4.3e-233;773.3;38.9;1;2;6.2e-201;2.9e-197;655;23.5;1;345;1;342;1;355;0.98;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569945.1_ASM156994v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P09883;-;582;4.3e-233;773.3;38.9;2;2;2.8e-40;1.3e-36;124.5;7.3;415;549;447;585;421;587;0.9;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569945.1_ASM156994v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P17998;-;697;3.9e-22;76;2.3;1;1;1.6e-25;7.5e-22;75.1;2.3;142;330;157;333;130;359;0.85;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569965.1_ASM156996v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.2e-38;128.4;8.9;1;1;1.6e-41;7.2e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001569985.1_ASM156998v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.3e-38;128.4;8.9;1;1;1.6e-41;7.4e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001569985.1_ASM156998v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P05819;-;511;4.1e-20;70;5.5;1;1;2.1e-23;9.9e-20;68.7;5.5;146;328;161;331;134;342;0.86;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569985.1_ASM156998v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P06716;-;626;3.2e-11;40.2;1.8;1;1;9.6e-15;4.6e-11;39.7;1.8;277;416;344;483;301;496;0.85;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569985.1_ASM156998v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P09883;-;582;4.3e-233;773.3;38.9;1;2;6.2e-201;3e-197;655;23.5;1;345;1;342;1;355;0.98;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569985.1_ASM156998v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P09883;-;582;4.3e-233;773.3;38.9;2;2;2.8e-40;1.3e-36;124.5;7.3;415;549;447;585;421;587;0.9;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001569985.1_ASM156998v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P17998;-;697;3.9e-22;76;2.3;1;1;1.6e-25;7.5e-22;75.1;2.3;142;330;157;333;130;359;0.85;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570005.1_ASM157000v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.2e-38;128.4;8.9;1;1;1.6e-41;7.2e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001570025.1_ASM157002v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;6.9e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001570045.1_ASM157004v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001570045.1_ASM157004v1_protein;colicin;WP_094301113.1;-;119;UniRef50_P09883;-;582;1.2e-31;108.1;7.2;1;1;2.9e-35;1.3e-31;107.9;7.2;419;526;16;119;6;119;0.94;hypothetical protein [Salmonella enterica]
GCF_001570065.1_ASM157006v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.2e-38;128.4;8.9;1;1;1.6e-41;7.3e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001570065.1_ASM157006v1_protein;colicin;WP_001283356.1;-;626;Colicin-E1;-;521;1.9e-41;140.5;9.8;1;3;0.021;97;-0.3;1.7;212;237;96;121;64;148;0.56;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570065.1_ASM157006v1_protein;colicin;WP_001283356.1;-;626;Colicin-E1;-;521;1.9e-41;140.5;9.8;2;3;1;4700;-11.8;17.6;116;234;159;273;100;289;0.58;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570065.1_ASM157006v1_protein;colicin;WP_001283356.1;-;626;Colicin-E1;-;521;1.9e-41;140.5;9.8;3;3;4.2e-45;1.9e-41;140.5;9.8;287;521;384;626;338;626;0.8;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570065.1_ASM157006v1_protein;colicin;WP_001283356.1;-;626;UniRef50_P05819;-;511;3.8e-15;53.6;7;1;2;0.25;1200;-4.1;0.4;398;433;85;117;68;125;0.5;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570065.1_ASM157006v1_protein;colicin;WP_001283356.1;-;626;UniRef50_P05819;-;511;3.8e-15;53.6;7;2;2;8.2e-19;3.8e-15;53.6;7;312;508;443;623;391;625;0.77;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570065.1_ASM157006v1_protein;colicin;WP_001283356.1;-;626;UniRef50_P06716;-;626;0;1356;24;1;1;0;0;1355.8;24;1;626;1;626;1;626;1;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570065.1_ASM157006v1_protein;colicin;WP_001132019.1;-;448;UniRef50_P06716;-;626;1.8e-06;24.5;0;1;1;1e-09;2.4e-06;24.1;0;12;62;393;447;385;448;0.86;MULTISPECIES: hypothetical protein [Enterobacteriaceae]
GCF_001570065.1_ASM157006v1_protein;colicin;WP_001283356.1;-;626;UniRef50_P08083;-;387;8.8e-10;36.1;4.2;1;1;2.9e-13;1.3e-09;35.5;4.2;186;382;438;624;405;626;0.84;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570065.1_ASM157006v1_protein;colicin;WP_001283356.1;-;626;UniRef50_Q47502;-;490;3e-43;146.6;12;1;2;1;4700;-12;19.2;145;283;105;267;57;283;0.48;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570065.1_ASM157006v1_protein;colicin;WP_001283356.1;-;626;UniRef50_Q47502;-;490;3e-43;146.6;12;2;2;6.5e-47;3e-43;146.6;12;266;490;401;626;375;626;0.94;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570065.1_ASM157006v1_protein;colicin;WP_001283356.1;-;626;UniRef50_Q9KJ98;-;490;3e-43;146.6;12;1;2;1;4700;-12;19.2;145;283;105;267;57;283;0.48;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570065.1_ASM157006v1_protein;colicin;WP_001283356.1;-;626;UniRef50_Q9KJ98;-;490;3e-43;146.6;12;2;2;6.5e-47;3e-43;146.6;12;266;490;401;626;375;626;0.94;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570085.1_ASM157008v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.2e-38;128.4;8.9;1;1;1.6e-41;7.3e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001570085.1_ASM157008v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P05819;-;511;4e-20;70;5.5;1;1;2.1e-23;9.7e-20;68.7;5.5;146;328;161;331;134;342;0.86;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570085.1_ASM157008v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P06716;-;626;3.1e-11;40.2;1.8;1;1;9.6e-15;4.5e-11;39.7;1.8;277;416;344;483;301;496;0.85;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570085.1_ASM157008v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P09883;-;582;4.2e-233;773.3;38.9;1;2;6.2e-201;2.9e-197;655;23.5;1;345;1;342;1;355;0.98;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570085.1_ASM157008v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P09883;-;582;4.2e-233;773.3;38.9;2;2;2.8e-40;1.3e-36;124.5;7.3;415;549;447;585;421;587;0.9;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570085.1_ASM157008v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P17998;-;697;3.9e-22;76;2.3;1;1;1.6e-25;7.4e-22;75.1;2.3;142;330;157;333;130;359;0.85;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570105.1_ASM157010v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;6.9e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001570125.1_ASM157012v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.2e-38;128.4;8.9;1;1;1.6e-41;7.2e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_001570125.1_ASM157012v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P05819;-;511;4e-20;70;5.5;1;1;2.1e-23;9.7e-20;68.7;5.5;146;328;161;331;134;342;0.86;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570125.1_ASM157012v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P06716;-;626;3.1e-11;40.2;1.8;1;1;9.6e-15;4.5e-11;39.7;1.8;277;416;344;483;301;496;0.85;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570125.1_ASM157012v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P09883;-;582;4.2e-233;773.3;38.9;1;2;6.2e-201;2.9e-197;655;23.5;1;345;1;342;1;355;0.98;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_001570125.1_ASM157012v1_protein;colicin;WP_061371543.1;-;587;UniRef50_P09883;-;582;4.2e-233;773.3;38.9;2;2;2.8e-40;1.3e-36;124.5;7.3;415;549;447;585;421;587;0.9;MULTISPECIES: colicin [Enterobacteriaceae]
